"1st & Elgin, 1953","Tulsa (Okla.) -- History; Buildings; 1st Street; Elgin Avenue","Looking west on East 1st Street from South Elgin Avenue on 03/22/1953.","Tulsa City-County Library",3/22/1953,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society, and the generosity of Tulsa World/Lorton Family, Chester Cadieux, the Rotary Club of Tulsa, and many other community-minded corporations, institutions and individuals.","Accession #B1203",,"modified","East 1st Street and South Elgin Avenue","included","B1203.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,32",32,"33.jpg","/p15020coll1/image/33.jpg",36.1569898,-95.9873905
"1st & Lewis","Tulsa (Okla.) -- History","The intersection of East 1st Street and South Lewis Avenue, in the Kendall-Whittier neighborhood. Davis Brothers Sporting Goods is on left.","Tulsa City-County Library",,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society, and the generosity of Tulsa World/Lorton Family, Chester Cadieux, the Rotary Club of Tulsa, and many other community-minded corporations, institutions and individuals.","Accession #B0947",,"modified","East 1st Street and South Lewis Avenue","included","B0947.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,39",39,"40.jpg","/p15020coll1/image/40.jpg",36.1586059,-95.9581439
"1st & Main, 1897","Tulsa (Okla.) -- History","Looking north from 1st and Main Streets in 1897.","Tulsa City-County Library",1897,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society, and the generosity of Tulsa World/Lorton Family, Chester Cadieux, the Rotary Club of Tulsa, and many other community-minded corporations, institutions and individuals.","Accession #A0826",,,"E 1st St & S Main St","included","A0826.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,42",42,"43.jpg","/p15020coll1/image/43.jpg",36.1553119,-95.9920179
"1st & Main, 1903","Tulsa (Okla.) -- History","Looking south during Tulsa Street Fair, Tulsa, Indian Territory, 1903.","Tulsa City-County Library",1903,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society, and the generosity of Tulsa World/Lorton Family, Chester Cadieux, the Rotary Club of Tulsa, and many other community-minded corporations, institutions and individuals.","Accession #C1668",,,"E 1st St & S Main St","included","C1668.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,43",43,"44.jpg","/p15020coll1/image/44.jpg",36.1553119,-95.9920179
"2nd & Boulder, 1909","Tulsa (Okla.) -- History","Looking east on 2nd Street from Boulder in 1909.","Tulsa City-County Library",1909,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society and the generosity of Tulsa World/Lorton Family Chester Cadieux the Rotary Club of Tulsa and many other community-minded corporations, institutions and individuals.","Accession #C1347",,,"S Boulder Ave & W 2nd St","included","C1347.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,57",57,"58.jpg","/p15020coll1/image/58.jpg",36.1539722,-95.9927558
"2nd & Boston, 1910","Tulsa (Okla.) -- History","Looking north on Boston Avenue near 2nd Street in 1910.","Tulsa City-County Library",1910,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society and the generosity of Tulsa World/Lorton Family Chester Cadieux the Rotary Club of Tulsa and many other community-minded corporations, institutions and individuals.","Accession #C1581",,,"100 East 2nd Street","included","C1581.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,58",58,"59.jpg","/p15020coll1/image/59.jpg",36.154336,-95.9911394
"2nd & Main, 1896","Tulsa (Okla.) -- History","Looking north on Main Street from 2nd Street, Tulsa, Indian Territory in 1896. Scott's Commerical Hotel and Frisco Meat Market on right.","Tulsa City-County Library",1896,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society and the generosity of Tulsa World/Lorton Family Chester Cadieux the Rotary Club of Tulsa and many other community-minded corporations, institutions and individuals.","Accession #C1575",,,"3 West 2nd Street","included","C1575.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,69",69,"70.jpg","/p15020coll1/image/70.jpg",36.1543566,-95.991697
"2nd Street, 1907","Tulsa (Okla.) -- History","Looking west on 2nd Street from Cincinnati Avenue in 1907.","Tulsa City-County Library",1907,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society and the generosity of Tulsa World/Lorton Family Chester Cadieux the Rotary Club of Tulsa and many other community-minded corporations, institutions and individuals.","Accession #C1711",,,"E 2nd St & S Cincinnati Ave","included","C1711.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,84",84,"85.jpg","/p15020coll1/image/85.jpg",36.1551311,-95.9892976
"3rd & Boulder, 1952","Tulsa (Okla.) -- History","East 3rd Street and South Boulder Avenue looking northeast, 1952. Shows the Trindle Building, Dentmoor Hotel, Martin's Pharmacy, Ray's Sundry, and Hopkins Photography Studio. Shannon Furniture and Rialto Theater can be seen at the edge of the picture.","Tulsa City-County Library",1952,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society and the generosity of Tulsa World/Lorton Family Chester Cadieux the Rotary Club of Tulsa and many other community-minded corporations, institutions and individuals.","Accession #A0081",,"modified","East 3rd Street and South Boulder Avenue","included","A0081.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,89",89,"90.jpg","/p15020coll1/image/90.jpg",36.1529581,-95.9923134
"3rd & Boulder, 1909","Tulsa (Okla.) -- History","Looking northwest at 3rd and Boulder in 1909.","Tulsa City-County Library",1909,"Ford, Beryl","You are free to distribute this photo provided the content is left unchanged. Photo credit should be given to the Beryl Ford Collection/Rotary Club of Tulsa, Tulsa City-County Library and Tulsa Historical Society.","Preservation and archiving of this significant Tulsa treasure of photographs and artifacts was made possible through the Tulsa City-County Library and the Tulsa Historical Society and the generosity of Tulsa World/Lorton Family Chester Cadieux the Rotary Club of Tulsa and many other community-minded corporations, institutions and individuals.","Accession #C1746",,,"W 3rd St & S Boulder Ave","included","C1746.jpg",5/5/2009,2/16/2012,"http://server16063.contentdm.oclc.org/u?/p15020coll1,93",93,"94.jpg","/p15020coll1/image/94.jpg",36.1529581,-95.9923134
